date,uyear,umonth,uday,week,weekday,date_type,is_workday
2024-04-26,2024,4,26,17,5,工作日,1
2024-04-27,2024,4,27,17,6,周末,0
2024-04-28,2024,4,28,17,7,法定上班,1
2024-04-29,2024,4,29,18,1,工作日,1
2024-04-30,2024,4,30,18,2,工作日,1
2024-05-01,2024,5,1,18,3,劳动节,0
2024-05-02,2024,5,2,18,4,劳动节,0
2024-05-03,2024,5,3,18,5,劳动节,0
2024-05-04,2024,5,4,18,6,劳动节,0
2024-05-05,2024,5,5,18,7,劳动节,0
2024-05-06,2024,5,6,19,1,工作日,1
2024-05-07,2024,5,7,19,2,工作日,1
2024-05-08,2024,5,8,19,3,工作日,1
2024-05-09,2024,5,9,19,4,工作日,1
2024-05-10,2024,5,10,19,5,工作日,1
2024-05-11,2024,5,11,19,6,法定上班,1
2024-05-12,2024,5,12,19,7,周末,0
2024-05-13,2024,5,13,20,1,工作日,1
2024-05-14,2024,5,14,20,2,工作日,1
2024-05-15,2024,5,15,20,3,工作日,1
2024-05-16,2024,5,16,20,4,工作日,1
2024-05-17,2024,5,17,20,5,工作日,1
2024-05-18,2024,5,18,20,6,周末,0
2024-05-19,2024,5,19,20,7,周末,0
2024-05-20,2024,5,20,21,1,工作日,1
2024-05-21,2024,5,21,21,2,工作日,1
2024-05-22,2024,5,22,21,3,工作日,1
2024-05-23,2024,5,23,21,4,工作日,1
2024-05-24,2024,5,24,21,5,工作日,1
2024-05-25,2024,5,25,21,6,周末,0
2024-05-26,2024,5,26,21,7,周末,0
2024-05-27,2024,5,27,22,1,工作日,1
2024-05-28,2024,5,28,22,2,工作日,1
2024-05-29,2024,5,29,22,3,工作日,1
2024-05-30,2024,5,30,22,4,工作日,1
2024-05-31,2024,5,31,22,5,工作日,1
2024-06-01,2024,6,1,22,6,周末,0
2024-06-02,2024,6,2,22,7,周末,0
2024-06-03,2024,6,3,23,1,工作日,1
2024-06-04,2024,6,4,23,2,工作日,1
2024-06-05,2024,6,5,23,3,工作日,1
2024-06-06,2024,6,6,23,4,工作日,1
2024-06-07,2024,6,7,23,5,工作日,1
2024-06-08,2024,6,8,23,6,周末,0
2024-06-09,2024,6,9,23,7,周末,0
2024-06-10,2024,6,10,24,1,端午节,0
2024-06-11,2024,6,11,24,2,工作日,1
2024-06-12,2024,6,12,24,3,工作日,1
2024-06-13,2024,6,13,24,4,工作日,1
2024-06-14,2024,6,14,24,5,工作日,1
2024-06-15,2024,6,15,24,6,周末,0
2024-06-16,2024,6,16,24,7,周末,0
2024-06-17,2024,6,17,25,1,工作日,1
2024-06-18,2024,6,18,25,2,工作日,1
2024-06-19,2024,6,19,25,3,工作日,1
2024-06-20,2024,6,20,25,4,工作日,1
2024-06-21,2024,6,21,25,5,工作日,1
2024-06-22,2024,6,22,25,6,周末,0
2024-06-23,2024,6,23,25,7,周末,0
2024-06-24,2024,6,24,26,1,工作日,1
2024-06-25,2024,6,25,26,2,工作日,1
2024-06-26,2024,6,26,26,3,工作日,1
2024-06-27,2024,6,27,26,4,工作日,1
2024-06-28,2024,6,28,26,5,工作日,1
2024-06-29,2024,6,29,26,6,周末,0
2024-06-30,2024,6,30,26,7,周末,0
2024-07-01,2024,7,1,27,1,工作日,1
2024-07-02,2024,7,2,27,2,工作日,1
2024-07-03,2024,7,3,27,3,工作日,1
2024-07-04,2024,7,4,27,4,工作日,1
2024-07-05,2024,7,5,27,5,工作日,1
2024-07-06,2024,7,6,27,6,周末,0
2024-07-07,2024,7,7,27,7,周末,0
2024-07-08,2024,7,8,28,1,工作日,1
2024-07-09,2024,7,9,28,2,工作日,1
2024-07-10,2024,7,10,28,3,工作日,1
2024-07-11,2024,7,11,28,4,工作日,1
2024-07-12,2024,7,12,28,5,工作日,1
2024-07-13,2024,7,13,28,6,周末,0
2024-07-14,2024,7,14,28,7,周末,0
2024-07-15,2024,7,15,29,1,工作日,1
2024-07-16,2024,7,16,29,2,工作日,1
2024-07-17,2024,7,17,29,3,工作日,1
2024-07-18,2024,7,18,29,4,工作日,1
2024-07-19,2024,7,19,29,5,工作日,1
2024-07-20,2024,7,20,29,6,周末,0
2024-07-21,2024,7,21,29,7,周末,0
2024-07-22,2024,7,22,30,1,工作日,1
2024-07-23,2024,7,23,30,2,工作日,1
2024-07-24,2024,7,24,30,3,工作日,1
2024-07-25,2024,7,25,30,4,工作日,1
2024-07-26,2024,7,26,30,5,工作日,1
2024-07-27,2024,7,27,30,6,周末,0
2024-07-28,2024,7,28,30,7,周末,0
2024-07-29,2024,7,29,31,1,工作日,1
2024-07-30,2024,7,30,31,2,工作日,1
2024-07-31,2024,7,31,31,3,工作日,1
2024-08-01,2024,8,1,31,4,工作日,1
2024-08-02,2024,8,2,31,5,工作日,1
2024-08-03,2024,8,3,31,6,周末,0
2024-08-04,2024,8,4,31,7,周末,0
2024-08-05,2024,8,5,32,1,工作日,1
